open,high,low,close,volume,year,month,day
16599.55,16666.0,16342.81,16522.14,182089.49533,1970,1,1
23174.39,24245.0,23154.25,23810.0,170958.44152,1970,1,1
21368.05,21819.88,21310.15,21559.04,169915.78301,1970,1,1
43451.14,43816.0,42430.58,43082.31,38880.37305,1970,1,1
19330.6,20415.87,19237.0,20080.07,326370.67061,1970,1,1
27972.87,28472.0,27124.47,27717.01,477378.23373,1970,1,1
29654.58,30223.74,29294.21,29542.15,59537.38659,1970,1,1
20112.61,20117.26,19335.62,19416.18,254217.46904,1970,1,1
22354.34,22410.0,22157.08,22346.57,121257.38132,1970,1,1
21237.68,21614.5,20906.62,21491.19,51431.67794,1970,1,1
16850.36,16879.82,16753.0,16831.85,163473.56641,1970,1,1
20337.82,20365.6,19730.0,20158.26,312239.75224,1970,1,1
23731.41,24255.0,23363.27,23488.94,364177.20751,1970,1,1
16603.11,16812.63,16458.05,16598.95,206565.92346,1970,1,1
20287.2,20576.25,19540.0,19811.66,256634.35529,1970,1,1
19123.35,19347.82,18900.0,19041.92,223530.13068,1970,1,1
29287.05,30343.27,28630.0,30086.74,51095.87863,1970,1,1
39450.12,40616.0,38200.0,40426.08,63037.12784,1970,1,1
31328.89,31328.9,29087.04,29874.01,73082.19658,1970,1,1
17128.56,17227.72,17092.0,17127.49,140573.97937,1970,1,1
43991.46,45094.14,43579.0,44313.16,54614.43648,1970,1,1
16821.9,16955.14,16731.13,16778.5,161612.00947,1970,1,1
38807.35,39310.0,37578.51,37777.34,32791.82359,1970,1,1
26907.49,28390.1,26827.22,27972.87,372066.99054,1970,1,1
17602.45,17695.0,16361.6,17070.31,393552.86492,1970,1,1
20799.58,22777.63,20762.45,22432.58,239942.73132,1970,1,1
27968.05,28023.86,26508.14,27124.91,88039.46898,1970,1,1
40551.9,40709.35,39991.55,40378.71,15805.44718,1970,1,1
29311.69,29448.88,29031.0,29230.45,20466.83058,1970,1,1
45832.01,47070.0,42500.0,43451.13,51784.11857,1970,1,1
20723.51,20900.0,19770.51,19987.99,92133.97938,1970,1,1
38328.68,39683.53,38014.37,39219.17,56574.57125,1970,1,1
45510.35,46720.09,44200.0,46283.49,56271.06474,1970,1,1
21826.87,22488.0,21538.51,22395.74,395395.61828,1970,1,1
16212.18,16548.71,16100.0,16442.53,248106.25009,1970,1,1
23940.2,24132.35,22841.19,23185.29,343582.57453,1970,1,1
46827.76,48189.84,46663.56,47122.21,58949.2614,1970,1,1
